0	4	0	4
2487	5	2991	5
6831	2	8314	2
7838	2	9508	2
9925	5	12164	5
12604	1	15717	1
13392	5	16718	5
15193	1	18994	1
15691	3	19540	3
17653	4	22120	4
20567	1	25747	1
21522	4	26918	4
24376	5	30535	5
26135	3	32594	3
28068	1	34929	1
28392	3	35318	3
30204	3	37648	3
31481	3	39337	3
32654	2	40766	2
34294	3	42776	3
35965	3	44989	3
38159	3	47525	3
39465	2	49267	2
41359	1	51615	1
41980	4	52580	4
44160	5	54886	5
45854	1	56937	1
46410	4	57637	4
47672	2	59149	2
48719	5	60547	5
51024	2	63386	2
52014	4	64621	4
53901	3	66780	3
54857	2	68027	2
55780	4	69116	4
56621	3	70413	3
58517	3	72673	3
59741	5	74218	5
63349	2	79150	2
64254	1	80256	1
64599	2	80663	2
65723	3	81923	3
66739	1	83204	1
67065	1	83707	1
67236	2	83958	2
68047	3	85069	3
68786	4	85973	4
70650	4	88281	4
73038	4	91425	4
77173	3	96154	3
80506	2	100334	2
81156	3	101193	3
82276	2	102761	2
82831	4	103374	4
83704	2	104481	2
84379	5	105350	5
86504	4	108368	4
88392	4	110659	4
90555	3	113438	3
92460	2	115498	2
93435	4	116620	4
94425	5	117965	5
97311	3	121482	3
99033	1	123445	1
100157	1	124696	1
100461	2	125166	2
101303	3	126175	3
102751	4	128317	4
104830	5	131033	5
106303	4	132890	4
107330	1	134290	1
108294	4	135340	4
110982	5	138950	5
113704	3	142449	3
115629	4	145376	4
119350	1	149649	1
119665	2	150069	2
120583	3	151569	3
122549	3	153663	3
123852	3	155866	3
125324	5	157537	5
126977	2	159477	2
128119	3	161044	3
129877	4	163247	4
132748	2	166884	2
133684	2	168155	2
134294	3	169085	3
136029	1	171459	1
136344	1	171881	1
136405	2	171990	2
136556	2	172169	2
137533	1	173479	1
138076	3	174212	3
138659	1	175067	1
138768	1	175238	1
139299	1	175846	1
139350	3	175926	3
140363	3	177271	3
141560	4	178765	4
142801	3	180449	3
144120	1	182080	1
144761	4	183008	4
148324	2	187087	2
149761	5	188766	5
151710	1	191086	1
152228	3	191724	3
152831	4	192461	4
154153	1	194068	1
154893	1	194888	1
155642	4	195831	4
158093	4	198782	4
159761	3	201001	3
163356	4	205833	4
165929	3	209403	3
167114	4	210716	4
169764	4	213857	4
172409	4	217203	4
174833	3	220222	3
176361	4	222139	4
178424	1	224821	1
179042	3	225626	3
180649	1	227565	1
180970	2	228110	2
181513	1	228762	1
181992	3	229339	3
182788	3	230303	3
183450	5	231258	5
186194	5	234756	5
188242	2	237255	2
189251	1	238699	1
189797	2	239353	2
190488	3	240242	3
191646	1	241617	1
191804	3	241835	3
192877	3	243053	3
194319	3	244863	3
195404	3	246266	3
196303	4	247405	4
197338	4	248743	4
200605	4	252569	4
202903	4	255242	4
204942	3	257609	3
205748	5	258631	5
207468	2	260747	2
208907	3	262397	3
209663	3	263388	3
210977	3	264962	3
212263	3	266393	3
213831	4	268268	4
216675	4	271952	4
217839	5	273228	5
218900	5	274565	5
220572	1	276437	1
221148	1	277181	1
221613	3	277828	3
222733	4	279435	4
225829	2	283102	2
227373	3	285234	3
228942	5	287219	5
230510	1	289064	1
230729	4	289404	4
232974	3	292108	3
234416	3	294047	3
235885	2	295779	2
235927	3	295821	3
237649	4	298032	4
239224	2	299937	2
239816	2	300675	2
241131	3	302253	3
241913	2	303296	2
243346	1	305222	1
243977	2	306162	2
244654	1	306916	1
245633	4	308122	4
247783	4	310950	4
250401	4	314065	4
253176	4	317379	4
255774	2	320625	2
256547	4	321762	4
258737	3	324551	3
260159	3	326419	3
262415	3	329601	3
264574	1	332432	1
265024	4	333043	4
266698	3	334808	3
268750	2	337409	2
270263	3	339304	3
271266	4	340464	4
273749	3	343630	3
275551	5	346042	5
278476	3	349339	3
280921	4	352758	4
282098	3	354333	3
283581	4	356278	4
285755	5	359255	5
289334	4	364014	4
292220	1	367327	1
292615	4	367910	4
293779	2	369281	2
294530	5	370279	5
296958	4	373282	4
298685	3	375299	3
299593	2	376466	2
301478	4	378711	4
303604	2	381737	2
304649	3	383050	3
305710	2	384254	2
306915	5	385888	5
308798	5	388064	5
310767	1	390608	1
310966	5	390900	5
313031	3	393492	3
314405	3	395285	3
317284	5	398817	5
319858	1	402252	1
320033	2	402475	2
320995	4	403680	4
324071	3	407658	3
325781	5	409667	5
327710	3	412159	3
330021	4	415029	4
332416	4	417965	4
334073	1	420105	1
334327	4	420454	4
337862	4	424535	4
340388	4	427684	4
341736	4	429308	4
342914	2	430927	2
343187	4	431342	4
345319	2	433902	2
346248	3	434976	3
347492	1	436578	1
347686	1	436847	1
348440	4	437828	4
351079	1	440960	1
351396	4	441404	4
354155	1	444590	1
354335	4	444823	4
356083	4	447029	4
357834	4	449201	4
360427	1	452246	1
361164	2	453103	2
362291	5	454530	5
364914	3	457686	3
365532	4	458500	4
367782	5	461505	5
370986	2	465495	2
372108	2	466952	2
373450	4	468547	4
375713	1	471074	1
376153	1	471586	1
376519	2	472012	2
377317	4	473056	4
379314	1	475221	1
379460	2	475413	2
379752	1	475872	1
380250	4	476601	4
381765	2	478445	2
381805	4	478485	4
384380	4	481606	4
386053	2	483663	2
386718	1	484663	1
386833	5	484814	5
387990	3	486399	3
389947	2	488952	2
390552	4	489650	4
394763	4	494922	4
397216	4	497914	4
399110	1	500065	1
399800	4	500845	4
401118	5	502364	5
404207	1	506356	1
404329	3	506523	3
406214	4	508824	4
408080	2	511148	2
409623	3	513123	3
411793	2	515959	2
412616	4	517009	4
414191	5	518902	5
417177	2	522152	2
417742	4	522872	4
420128	2	525886	2
420809	2	526690	2
421684	1	528143	1
422396	3	528878	3
423148	4	529816	4
425048	3	532035	3
426670	4	533916	4
430363	4	538196	4
433371	1	541892	1
433453	2	542004	2
434076	3	542782	3
435259	2	544361	2
436046	4	545455	4
437671	3	547360	3
438404	1	548306	1
438992	4	549055	4
441639	2	551971	2
442592	2	553234	2
443021	1	553883	1
443747	1	554812	1
444444	3	555782	3
445546	4	557160	4
447228	4	559132	4
451116	3	563306	3
452612	1	564868	1
452825	3	565192	3
454388	1	567258	1
455393	1	568492	1
455746	4	568917	4
457633	1	571258	1
458043	2	571822	2
458930	3	573111	3
460666	5	575314	5
462720	4	578015	4
464479	1	580135	1
464886	1	580665	1
465576	3	581498	3
467089	4	583289	4
469310	1	585797	1
469601	1	586168	1
469671	1	586283	1
470204	4	586977	4
471737	2	589006	2
472938	2	590332	2
472987	2	590381	2
474206	1	591892	1
474991	2	592919	2
476114	1	594341	1
476807	1	595317	1
477275	3	595928	3
478529	1	597562	1
479599	1	598940	1
480297	2	599840	2
480859	1	600552	1
482063	2	601966	2
483080	4	603160	4
485556	3	606006	3
486494	1	607205	1
486844	4	607723	4
488622	1	610078	1
489274	4	610998	4
490795	2	612861	2
491266	5	613422	5
492530	5	614920	5
493921	1	616696	1
495150	5	618496	5
496811	4	620493	4
499517	2	623427	2
499557	1	623467	1
500305	2	624361	2
500517	2	624625	2
501109	1	625305	1
